model,split,test_images,precision,recall,mAP50,mAP50-95,dataset_yaml,best_pt,epochs,batch,imgsz,seed,optimizer,lr0,lrf,mosaic,mixup,weight_decay,patience
YOLOv12N,test,47,0.6793236118201849,0.6992169097467374,0.7867322971781306,0.4401090903557153,yolo_new_gen/dataset_yolo_det_192_3class_vv_vh_rgb_scene_80_10_10_seed7/data.yaml,runs/detect/YOLOV12N_192_E100_B8_3class_VV_VH_RGB_scene_80_10_10_seed7_adamw_lr0005_nomosaic_noearlystop/weights/best.pt,100,8,192,7,AdamW,0.0005,0.01,0.0,0.0,0.0005,100
YOLOv12S,test,47,0.6026895594689974,0.7965836561125359,0.725821976967286,0.42205753746907987,yolo_new_gen/dataset_yolo_det_192_3class_vv_vh_rgb_scene_80_10_10_seed7/data.yaml,runs/detect/YOLOV12S_192_E100_B8_3class_VV_VH_RGB_scene_80_10_10_seed7_adamw_lr0005_nomosaic_noearlystop/weights/best.pt,100,8,192,7,AdamW,0.0005,0.01,0.0,0.0,0.0005,100
